"","X1","X2","Class"
"1",1.388261,2.076096,1
"2",2.177247,3.102304,1
"3",0.378645,5.30761,1
"4",3.681732,1.622681,1
"5",2.462861,2.777897,1
"6",1.735954,3.82709,1
"7",1.167995,5.518099,1
"8",1.807107,3.250988,1
"9",3.508638,1.843392,1
"10",1.864733,2.401942,1
"11",2.41636,1.533124,1
"12",3.010207,3.569472,1
"13",1.021681,4.510689,1
"14",3.773426,0.228935,1
"15",-0.037831,5.1149,1
"16",1.434476,4.037901,1
"17",3.153464,2.681303,1
"18",3.824689,2.107575,1
"19",3.684099,0.632402,1
"20",1.972013,2.88941,1
"21",-0.26852,5.033146,1
"22",0.505922,5.39605,1
"23",0.86143,4.359509,1
"24",2.310166,1.969608,1
"25",-1.069797,5.405615,1
"26",0.570748,4.664791,1
"27",2.718054,3.861631,1
"28",2.8362,1.784931,1
"29",2.537878,1.713435,1
"30",1.972408,2.981157,1
"31",2.000061,2.730238,1
"32",3.548569,0.171011,1
"33",2.605543,3.27554,1
"34",3.03373,2.663344,1
"35",2.057013,3.528919,1
"36",2.804546,2.139441,1
"37",1.466178,3.175989,1
"38",-0.086155,4.470365,1
"39",2.167506,3.133119,1
"40",4.041429,1.069045,1
"41",2.881386,2.972907,1
"42",3.330619,1.093687,1
"43",2.299863,2.961959,1
"44",0.574807,3.510508,1
"45",3.530596,1.663942,1
"46",2.551374,2.63356,1
"47",1.101316,3.244133,1
"48",2.627421,1.692043,1
"49",3.104758,2.598973,1
"50",0.837921,3.704289,1
"51",0.32023,2.475085,1
"52",3.394892,1.44401,1
"53",2.462968,2.82823,1
"54",2.030358,2.123839,1
"55",0.660533,3.75386,1
"56",0.322904,3.445714,1
"57",4.082401,1.381379,1
"58",0.278453,4.342255,1
"59",0.404281,3.131675,1
"60",1.630747,4.104445,1
"61",2.181931,3.411487,1
"62",0.348454,3.9304,1
"63",1.628854,2.267523,1
"64",0.134034,5.282937,1
"65",2.015903,2.439853,1
"66",3.139473,2.284963,1
"67",0.600268,5.256461,1
"68",2.409418,3.927369,1
"69",3.609415,1.131957,1
"70",0.172927,4.399779,1
"71",1.532463,2.658188,1
"72",2.703953,3.699864,1
"73",1.227166,2.899769,1
"74",1.651628,3.841293,1
"75",0.791982,2.947065,1
"76",1.830479,3.080213,1
"77",2.686312,1.94566,1
"78",1.788338,2.80043,1
"79",1.88781,4.392372,1
"80",1.142304,2.542882,1
"81",2.663808,1.702252,1
"82",2.050741,2.426929,1
"83",2.757167,2.863404,1
"84",1.711938,1.487297,1
"85",2.187469,4.20168,1
"86",3.440252,0.506783,1
"87",1.888755,2.510591,1
"88",0.551063,3.111766,1
"89",2.408435,2.308976,1
"90",2.078915,2.624717,1
"91",1.342428,3.840828,1
"92",3.029948,3.968269,1
"93",0.080491,3.667894,1
"94",3.467719,1.495069,1
"95",0.046595,4.83047,1
"96",4.196617,1.843375,1
"97",4.76816,1.21359,1
"98",4.636842,0.602186,1
"99",0.388109,4.110369,1
"100",3.683261,0.706257,1
"101",2.898413,1.770954,1
"102",2.779493,1.44316,1
"103",2.121609,1.201784,1
"104",1.302668,3.949926,1
"105",1.546031,4.412428,1
"106",1.107236,1.741204,1
"107",0.258203,5.289185,1
"108",1.839877,3.44988,1
"109",3.3353,0.132518,1
"110",1.088286,3.131751,1
"111",0.560137,3.997389,1
"112",4.151038,1.246554,1
"113",3.735874,1.020552,1
"114",2.010641,2.32718,1
"115",2.830056,2.122798,1
"116",2.679015,3.023737,1
"117",1.889237,3.843098,1
"118",5.265826,0.83251,1
"119",1.98333,3.788162,1
"120",2.079112,1.99733,1
"121",2.686597,2.446475,1
"122",1.609369,4.395611,1
"123",4.635246,0.448397,1
"124",2.146264,2.197676,1
"125",2.962285,0.223751,1
"126",3.400234,2.065555,1
"127",2.370047,3.733605,1
"128",1.611562,3.197782,1
"129",0.203241,3.02579,1
"130",1.005024,4.034316,1
"131",1.234614,2.48077,1
"132",3.517007,1.182169,1
"133",1.98404,3.012075,1
"134",1.647244,3.61871,1
"135",1.626629,1.886737,1
"136",0.544809,4.370425,1
"137",0.222913,4.127075,1
"138",0.668699,3.068394,1
"139",0.555888,3.814464,1
"140",2.2456,2.70499,1
"141",3.504892,1.587869,1
"142",-0.146124,4.725159,1
"143",2.100936,3.18784,1
"144",2.70686,3.519002,1
"145",1.225271,3.841086,1
"146",1.981365,2.522537,1
"147",5.021196,0.364448,1
"148",0.006626,6.09668,1
"149",2.460392,1.68215,1
"150",2.877308,3.3756,1
"151",0.732805,4.128457,1
"152",1.803368,2.170132,1
"153",3.674032,1.647682,1
"154",2.758328,1.785428,1
"155",1.072899,4.008426,1
"156",2.151058,4.447417,1
"157",1.610942,5.188661,1
"158",4.133378,-0.357156,1
"159",-0.376646,4.414657,1
"160",1.737216,3.217808,1
"161",3.183626,1.440232,1
"162",0.979658,3.645566,1
"163",1.971059,3.259799,1
"164",3.496655,2.330183,1
"165",-0.475744,5.572314,1
"166",3.147614,2.621865,1
"167",3.852733,1.795365,1
"168",1.048244,3.634696,1
"169",-1.463434,6.172343,1
"170",2.165386,2.366123,1
"171",1.074104,2.823745,1
"172",1.932498,3.375886,1
"173",1.532799,2.949583,1
"174",1.949119,2.892416,1
"175",0.646223,5.179785,1
"176",2.62354,3.588082,1
"177",1.296104,2.613854,1
"178",3.142189,2.121208,1
"179",0.93056,3.779924,1
"180",-0.840943,6.19249,1
"181",0.612387,3.525888,1
"182",3.89431,0.713034,1
"183",1.416131,3.037601,1
"184",4.290669,1.236111,1
"185",0.471155,3.268891,1
"186",4.454617,2.680295,1
"187",4.312336,0.084431,1
"188",1.698012,3.072791,1
"189",2.43487,2.16647,1
"190",0.617396,3.726953,1
"191",3.530309,3.789011,1
"192",2.324263,2.514353,1
"193",2.992314,1.792414,1
"194",4.633944,1.832039,1
