"","X1","X2","X3","Class"
"1",0,0,1,1
"2",0,0.052336,0.99863,1
"3",0.049774,0.016173,0.99863,1
"4",0.030762,-0.042341,0.99863,1
"5",-0.030762,-0.042341,0.99863,1
"6",-0.049774,0.016173,0.99863,1
"7",0,0.104528,0.994522,1
"8",0.06144,0.084565,0.994522,1
"9",0.099412,0.032301,0.994522,1
"10",0.099412,-0.032301,0.994522,1
"11",0.06144,-0.084565,0.994522,1
"12",0,-0.104528,0.994522,1
"13",-0.06144,-0.084565,0.994522,1
"14",-0.099412,-0.032301,0.994522,1
"15",-0.099412,0.032301,0.994522,1
"16",-0.06144,0.084565,0.994522,1
"17",0,0.156434,0.987688,1
"18",0.063628,0.14291,0.987688,1
"19",0.116253,0.104675,0.987688,1
"20",0.148778,0.048341,0.987688,1
"21",0.155578,-0.016352,0.987688,1
"22",0.135476,-0.078217,0.987688,1
"23",0.09195,-0.126558,0.987688,1
"24",0.032525,-0.153016,0.987688,1
"25",-0.032525,-0.153016,0.987688,1
"26",-0.09195,-0.126558,0.987688,1
"27",-0.135476,-0.078217,0.987688,1
"28",-0.155578,-0.016352,0.987688,1
"29",-0.148778,0.048341,0.987688,1
"30",-0.116253,0.104675,0.987688,1
"31",-0.063628,0.14291,0.987688,1
"32",0,0.207912,0.978148,1
"33",0.064248,0.197736,0.978148,1
"34",0.122207,0.168204,0.978148,1
"35",0.168204,0.122207,0.978148,1
"36",0.197736,0.064248,0.978148,1
"37",0.207912,0,0.978148,1
"38",0.197736,-0.064248,0.978148,1
"39",0.168204,-0.122207,0.978148,1
"40",0.122207,-0.168204,0.978148,1
"41",0.064248,-0.197736,0.978148,1
"42",0,-0.207912,0.978148,1
"43",-0.064248,-0.197736,0.978148,1
"44",-0.122207,-0.168204,0.978148,1
"45",-0.168204,-0.122207,0.978148,1
"46",-0.197736,-0.064248,0.978148,1
"47",-0.207912,0,0.978148,1
"48",-0.197736,0.064248,0.978148,1
"49",-0.168204,0.122207,0.978148,1
"50",-0.122207,0.168204,0.978148,1
"51",-0.064248,0.197736,0.978148,1
"52",0,0.258819,0.965926,1
"53",0.064366,0.250688,0.965926,1
"54",0.124687,0.226805,0.965926,1
"55",0.177174,0.188671,0.965926,1
"56",0.218528,0.138682,0.965926,1
"57",0.246152,0.079979,0.965926,1
"58",0.258308,0.016251,0.965926,1
"59",0.254235,-0.048498,0.965926,1
"60",0.234186,-0.1102,0.965926,1
"61",0.199424,-0.164977,0.965926,1
"62",0.15213,-0.209389,0.965926,1
"63",0.095278,-0.240644,0.965926,1
"64",0.032439,-0.256778,0.965926,1
"65",-0.032439,-0.256778,0.965926,1
"66",-0.095278,-0.240644,0.965926,1
"67",-0.15213,-0.209389,0.965926,1
"68",-0.199424,-0.164977,0.965926,1
"69",-0.234186,-0.1102,0.965926,1
"70",-0.254235,-0.048498,0.965926,1
"71",-0.258308,0.016251,0.965926,1
"72",-0.246152,0.079979,0.965926,1
"73",-0.218528,0.138682,0.965926,1
"74",-0.177174,0.188671,0.965926,1
"75",-0.124687,0.226805,0.965926,1
"76",-0.064366,0.250688,0.965926,1
"77",0,0.309017,0.951057,1
"78",0.064248,0.302264,0.951057,1
"79",0.125689,0.282301,0.951057,1
"80",0.181636,0.25,0.951057,1
"81",0.229644,0.206773,0.951057,1
"82",0.267617,0.154508,0.951057,1
"83",0.293893,0.095492,0.951057,1
"84",0.307324,0.032301,0.951057,1
"85",0.307324,-0.032301,0.951057,1
"86",0.293893,-0.095492,0.951057,1
"87",0.267617,-0.154508,0.951057,1
"88",0.229644,-0.206773,0.951057,1
"89",0.181636,-0.25,0.951057,1
"90",0.125689,-0.282301,0.951057,1
"91",0.064248,-0.302264,0.951057,1
"92",0,-0.309017,0.951057,1
"93",-0.064248,-0.302264,0.951057,1
"94",-0.125689,-0.282301,0.951057,1
"95",-0.181636,-0.25,0.951057,1
"96",-0.229644,-0.206773,0.951057,1
"97",-0.267617,-0.154508,0.951057,1
"98",-0.293893,-0.095492,0.951057,1
"99",-0.307324,-0.032301,0.951057,1
"100",-0.307324,0.032301,0.951057,1
"101",-0.293893,0.095492,0.951057,1
"102",-0.267617,0.154508,0.951057,1
"103",-0.229644,0.206773,0.951057,1
"104",-0.181636,0.25,0.951057,1
"105",-0.125689,0.282301,0.951057,1
"106",-0.064248,0.302264,0.951057,1
"107",0,0.358368,0.93358,1
"108",0.063989,0.352609,0.93358,1
"109",0.125921,0.335517,0.93358,1
"110",0.183807,0.307641,0.93358,1
"111",0.235784,0.269877,0.93358,1
"112",0.280183,0.223439,0.93358,1
"113",0.315577,0.169819,0.93358,1
"114",0.340828,0.110742,0.93358,1
"115",0.355125,0.048105,0.93358,1
"116",0.358007,-0.016078,0.93358,1
"117",0.349383,-0.079744,0.93358,1
"118",0.329529,-0.140848,0.93358,1
"119",0.299084,-0.197424,0.93358,1
"120",0.259027,-0.247655,0.93358,1
"121",0.210643,-0.289926,0.93358,1
"122",0.15549,-0.322878,0.93358,1
"123",0.095339,-0.345453,0.93358,1
"124",0.032124,-0.356925,0.93358,1
"125",-0.032124,-0.356925,0.93358,1
"126",-0.095339,-0.345453,0.93358,1
"127",-0.15549,-0.322878,0.93358,1
"128",-0.210643,-0.289926,0.93358,1
"129",-0.259027,-0.247655,0.93358,1
"130",-0.299084,-0.197424,0.93358,1
"131",-0.329529,-0.140848,0.93358,1
"132",-0.349383,-0.079744,0.93358,1
"133",-0.358007,-0.016078,0.93358,1
"134",-0.355125,0.048105,0.93358,1
"135",-0.340828,0.110742,0.93358,1
"136",-0.315577,0.169819,0.93358,1
"137",-0.280183,0.223439,0.93358,1
"138",-0.235784,0.269877,0.93358,1
"139",-0.183807,0.307641,0.93358,1
"140",-0.125921,0.335517,0.93358,1
"141",-0.063989,0.352609,0.93358,1
"142",0,0.406737,0.913545,1
"143",0.063628,0.401729,0.913545,1
"144",0.125689,0.38683,0.913545,1
"145",0.184655,0.362405,0.913545,1
"146",0.239074,0.329057,0.913545,1
"147",0.287606,0.287606,0.913545,1
"148",0.329057,0.239074,0.913545,1
"149",0.362405,0.184655,0.913545,1
"150",0.38683,0.125689,0.913545,1
"151",0.401729,0.063628,0.913545,1
"152",0.406737,0,0.913545,1
"153",0.401729,-0.063628,0.913545,1
